Sequence_identifier,_NormalizedVDWVC2,_PolarizabilityC2,_PolarizabilityC3,_ChargeC1,_PolarizabilityC1,_SecondaryStrC2,_SecondaryStrC3,_NormalizedVDWVC3,_SecondaryStrC1,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_NormalizedVDWVC1,_HydrophobicityC3,_HydrophobicityC1,_ChargeC3,_PolarityC2,_PolarityC1,_HydrophobicityC2,_PolarityC3,_ChargeC2
158,0.246,0.374,0.259,0.113,0.367,0.229,0.332,0.259,0.44,0.417,0.281,0.302,0.477,0.241,0.281,0.106,0.224,0.269,0.477,0.141,0.781
159,0.213,0.37,0.239,0.085,0.391,0.197,0.367,0.239,0.436,0.351,0.205,0.444,0.54,0.199,0.205,0.059,0.237,0.245,0.596,0.128,0.856
160,0.273,0.419,0.227,0.131,0.354,0.222,0.333,0.227,0.444,0.444,0.273,0.283,0.434,0.278,0.273,0.066,0.207,0.278,0.449,0.162,0.803
161,0.304,0.364,0.313,0.126,0.322,0.313,0.299,0.313,0.388,0.407,0.308,0.285,0.369,0.276,0.308,0.117,0.178,0.332,0.416,0.168,0.757
162,0.439,0.489,0.304,0.122,0.207,0.295,0.203,0.304,0.502,0.422,0.363,0.215,0.257,0.354,0.363,0.131,0.245,0.384,0.283,0.165,0.747
163,0.372,0.424,0.271,0.126,0.305,0.268,0.242,0.271,0.491,0.387,0.346,0.268,0.353,0.283,0.346,0.149,0.208,0.331,0.372,0.156,0.725
164,0.409,0.468,0.217,0.113,0.315,0.251,0.227,0.217,0.522,0.498,0.3,0.202,0.369,0.33,0.3,0.128,0.207,0.35,0.369,0.128,0.759
165,0.333,0.4,0.212,0.091,0.388,0.267,0.303,0.212,0.43,0.485,0.261,0.255,0.448,0.279,0.261,0.109,0.176,0.315,0.461,0.121,0.8
166,0.389,0.444,0.306,0.17,0.25,0.302,0.223,0.306,0.475,0.422,0.374,0.205,0.3,0.306,0.374,0.163,0.201,0.364,0.32,0.184,0.667
167,0.363,0.414,0.315,0.174,0.271,0.307,0.222,0.315,0.471,0.425,0.372,0.204,0.316,0.299,0.372,0.161,0.182,0.357,0.329,0.19,0.665
168,0.403,0.454,0.303,0.164,0.243,0.312,0.217,0.303,0.471,0.421,0.37,0.209,0.289,0.312,0.37,0.163,0.204,0.372,0.317,0.182,0.674
169,0.363,0.392,0.259,0.113,0.349,0.311,0.288,0.259,0.401,0.434,0.311,0.255,0.373,0.34,0.311,0.123,0.137,0.377,0.349,0.137,0.764
170,0.342,0.487,0.202,0.089,0.311,0.319,0.3,0.202,0.381,0.446,0.292,0.262,0.374,0.338,0.292,0.121,0.209,0.366,0.37,0.113,0.791
171,0.286,0.405,0.261,0.097,0.333,0.247,0.356,0.261,0.397,0.317,0.288,0.395,0.442,0.237,0.288,0.099,0.247,0.286,0.475,0.134,0.805
172,0.466,0.519,0.198,0.096,0.283,0.192,0.216,0.198,0.592,0.487,0.332,0.181,0.321,0.35,0.332,0.102,0.23,0.364,0.318,0.122,0.802
173,0.34,0.393,0.32,0.146,0.286,0.311,0.282,0.32,0.408,0.335,0.369,0.296,0.335,0.248,0.369,0.112,0.218,0.32,0.383,0.175,0.743
174,0.444,0.489,0.26,0.161,0.251,0.297,0.257,0.26,0.446,0.444,0.373,0.184,0.294,0.336,0.373,0.121,0.201,0.379,0.291,0.169,0.718
175,0.357,0.413,0.278,0.128,0.308,0.27,0.251,0.278,0.479,0.446,0.341,0.213,0.351,0.295,0.341,0.146,0.199,0.331,0.364,0.162,0.726
176,0.295,0.377,0.261,0.127,0.362,0.246,0.291,0.261,0.463,0.451,0.317,0.231,0.414,0.272,0.317,0.104,0.194,0.302,0.41,0.142,0.769
177,0.374,0.45,0.29,0.153,0.26,0.282,0.237,0.29,0.481,0.427,0.336,0.237,0.305,0.321,0.336,0.115,0.206,0.344,0.344,0.191,0.733
178,0.42,0.46,0.208,0.124,0.332,0.283,0.252,0.208,0.465,0.416,0.358,0.226,0.367,0.327,0.358,0.181,0.181,0.336,0.314,0.15,0.695
179,0.399,0.446,0.291,0.126,0.263,0.324,0.223,0.291,0.453,0.356,0.349,0.295,0.306,0.302,0.349,0.151,0.216,0.381,0.349,0.14,0.723
180,0.399,0.441,0.305,0.155,0.254,0.286,0.251,0.305,0.462,0.427,0.376,0.197,0.296,0.315,0.376,0.176,0.207,0.362,0.31,0.178,0.669
181,0.343,0.453,0.182,0.103,0.364,0.228,0.337,0.182,0.436,0.333,0.305,0.362,0.465,0.238,0.305,0.101,0.259,0.242,0.457,0.135,0.796
182,0.396,0.434,0.358,0.208,0.208,0.208,0.264,0.358,0.528,0.358,0.434,0.208,0.245,0.321,0.434,0.132,0.245,0.34,0.245,0.208,0.66
183,0.325,0.376,0.33,0.148,0.294,0.346,0.254,0.33,0.4,0.41,0.336,0.254,0.332,0.322,0.336,0.136,0.153,0.388,0.343,0.165,0.717
184,0.402,0.436,0.302,0.14,0.262,0.319,0.276,0.302,0.405,0.407,0.37,0.222,0.296,0.342,0.37,0.123,0.202,0.382,0.288,0.154,0.738
185,0.39,0.435,0.269,0.13,0.296,0.332,0.291,0.269,0.377,0.363,0.372,0.265,0.341,0.309,0.372,0.143,0.202,0.35,0.318,0.152,0.726
186,0.424,0.462,0.277,0.147,0.261,0.269,0.282,0.277,0.45,0.403,0.374,0.223,0.294,0.332,0.374,0.122,0.206,0.361,0.294,0.172,0.731
187,0.469,0.492,0.289,0.141,0.219,0.273,0.258,0.289,0.469,0.336,0.398,0.266,0.242,0.32,0.398,0.141,0.25,0.352,0.281,0.18,0.719
188,0.422,0.422,0.311,0.2,0.267,0.156,0.2,0.311,0.644,0.333,0.4,0.267,0.267,0.311,0.4,0.133,0.2,0.333,0.289,0.2,0.667
189,0.308,0.387,0.205,0.101,0.407,0.21,0.378,0.205,0.412,0.367,0.306,0.327,0.473,0.226,0.306,0.101,0.212,0.25,0.468,0.131,0.798
190,0.442,0.504,0.192,0.101,0.304,0.235,0.332,0.192,0.433,0.343,0.388,0.269,0.36,0.289,0.388,0.164,0.269,0.308,0.323,0.119,0.735
191,0.257,0.401,0.231,0.12,0.368,0.24,0.35,0.231,0.41,0.422,0.257,0.32,0.488,0.26,0.257,0.09,0.207,0.275,0.482,0.15,0.79
192,0.372,0.427,0.207,0.136,0.365,0.235,0.276,0.207,0.489,0.421,0.337,0.241,0.412,0.279,0.337,0.133,0.192,0.294,0.384,0.149,0.731
193,0.36,0.444,0.187,0.077,0.369,0.232,0.343,0.187,0.425,0.416,0.286,0.298,0.427,0.274,0.286,0.084,0.23,0.298,0.44,0.103,0.838
194,0.36,0.419,0.309,0.162,0.272,0.287,0.213,0.309,0.5,0.5,0.331,0.169,0.324,0.346,0.331,0.132,0.191,0.375,0.324,0.162,0.706
195,0.429,0.48,0.235,0.122,0.286,0.224,0.26,0.235,0.515,0.383,0.367,0.25,0.332,0.296,0.367,0.138,0.26,0.316,0.337,0.138,0.74
196,0.378,0.422,0.319,0.153,0.259,0.275,0.197,0.319,0.528,0.394,0.331,0.275,0.297,0.316,0.331,0.106,0.175,0.366,0.353,0.2,0.741
197,0.397,0.48,0.232,0.088,0.288,0.249,0.303,0.232,0.448,0.37,0.354,0.276,0.348,0.278,0.354,0.094,0.283,0.31,0.369,0.12,0.818
198,0.461,0.483,0.25,0.161,0.267,0.228,0.272,0.25,0.5,0.339,0.461,0.2,0.289,0.294,0.461,0.167,0.25,0.322,0.244,0.161,0.672
199,0.354,0.409,0.265,0.133,0.326,0.282,0.215,0.265,0.503,0.392,0.315,0.293,0.37,0.293,0.315,0.116,0.188,0.326,0.392,0.16,0.751
200,0.355,0.488,0.206,0.118,0.307,0.198,0.362,0.206,0.44,0.343,0.317,0.339,0.429,0.258,0.317,0.115,0.287,0.27,0.425,0.136,0.767
201,0.325,0.387,0.258,0.113,0.356,0.222,0.294,0.258,0.485,0.438,0.304,0.258,0.392,0.314,0.304,0.124,0.155,0.356,0.381,0.134,0.763
202,0.43,0.437,0.318,0.185,0.245,0.212,0.172,0.318,0.616,0.358,0.457,0.185,0.252,0.285,0.457,0.152,0.225,0.305,0.258,0.225,0.662
203,0.362,0.393,0.292,0.132,0.315,0.265,0.23,0.292,0.506,0.381,0.393,0.226,0.335,0.284,0.393,0.183,0.187,0.335,0.323,0.163,0.685
204,0.381,0.436,0.236,0.134,0.328,0.26,0.258,0.236,0.482,0.443,0.349,0.208,0.374,0.297,0.349,0.145,0.197,0.323,0.354,0.152,0.721
205,0.263,0.409,0.217,0.074,0.374,0.214,0.411,0.217,0.374,0.391,0.217,0.391,0.511,0.22,0.217,0.074,0.257,0.277,0.563,0.091,0.851
206,0.358,0.399,0.28,0.176,0.321,0.223,0.254,0.28,0.523,0.44,0.363,0.197,0.352,0.306,0.363,0.114,0.161,0.321,0.332,0.197,0.71
207,0.389,0.446,0.174,0.094,0.38,0.283,0.32,0.174,0.397,0.437,0.311,0.251,0.434,0.294,0.311,0.163,0.186,0.32,0.394,0.114,0.743
208,0.363,0.437,0.279,0.174,0.284,0.316,0.3,0.279,0.384,0.421,0.389,0.189,0.316,0.321,0.389,0.132,0.179,0.342,0.289,0.195,0.695
209,0.401,0.446,0.306,0.159,0.248,0.185,0.268,0.306,0.548,0.369,0.433,0.197,0.268,0.28,0.433,0.134,0.242,0.318,0.287,0.191,0.707
210,0.394,0.446,0.255,0.106,0.3,0.28,0.252,0.255,0.468,0.458,0.302,0.24,0.339,0.327,0.302,0.129,0.188,0.359,0.371,0.153,0.765
211,0.395,0.445,0.249,0.113,0.307,0.257,0.279,0.249,0.464,0.395,0.326,0.279,0.351,0.309,0.326,0.127,0.207,0.343,0.365,0.144,0.76
212,0.335,0.415,0.25,0.144,0.335,0.207,0.293,0.25,0.5,0.426,0.356,0.218,0.415,0.213,0.356,0.133,0.25,0.245,0.431,0.17,0.723
213,0.395,0.405,0.355,0.18,0.24,0.275,0.175,0.355,0.55,0.415,0.41,0.175,0.25,0.355,0.41,0.185,0.175,0.395,0.235,0.19,0.635
214,0.343,0.398,0.236,0.119,0.367,0.224,0.333,0.236,0.443,0.319,0.369,0.312,0.414,0.224,0.369,0.143,0.233,0.252,0.407,0.148,0.738
215,0.371,0.401,0.246,0.121,0.353,0.246,0.233,0.246,0.522,0.47,0.297,0.233,0.379,0.315,0.297,0.112,0.151,0.341,0.388,0.155,0.767
216,0.402,0.464,0.241,0.116,0.295,0.295,0.214,0.241,0.491,0.429,0.313,0.259,0.33,0.348,0.313,0.125,0.188,0.384,0.339,0.134,0.759
217,0.292,0.403,0.187,0.087,0.411,0.221,0.366,0.187,0.413,0.368,0.274,0.358,0.5,0.245,0.274,0.134,0.224,0.266,0.482,0.1,0.779
218,0.293,0.318,0.28,0.127,0.401,0.299,0.287,0.28,0.414,0.42,0.287,0.293,0.42,0.28,0.287,0.096,0.121,0.325,0.433,0.153,0.777
219,0.377,0.436,0.26,0.119,0.303,0.287,0.258,0.26,0.456,0.426,0.33,0.244,0.352,0.319,0.33,0.152,0.194,0.352,0.351,0.151,0.729
220,0.303,0.39,0.249,0.118,0.362,0.246,0.328,0.249,0.426,0.392,0.328,0.279,0.413,0.269,0.328,0.115,0.195,0.297,0.403,0.146,0.767
221,0.322,0.468,0.197,0.09,0.335,0.228,0.37,0.197,0.402,0.364,0.277,0.359,0.464,0.235,0.277,0.093,0.278,0.266,0.489,0.121,0.817
222,0.368,0.423,0.276,0.16,0.301,0.209,0.221,0.276,0.571,0.411,0.374,0.215,0.35,0.282,0.374,0.153,0.202,0.313,0.344,0.184,0.687
223,0.338,0.45,0.232,0.093,0.318,0.274,0.331,0.232,0.396,0.319,0.316,0.365,0.406,0.268,0.316,0.106,0.26,0.301,0.416,0.121,0.801
224,0.409,0.446,0.253,0.128,0.301,0.257,0.239,0.253,0.504,0.43,0.363,0.207,0.336,0.308,0.363,0.149,0.209,0.343,0.329,0.148,0.722
225,0.391,0.449,0.251,0.111,0.3,0.251,0.276,0.251,0.473,0.366,0.325,0.309,0.354,0.28,0.325,0.115,0.235,0.325,0.395,0.14,0.774
226,0.415,0.481,0.222,0.119,0.296,0.222,0.267,0.222,0.511,0.393,0.378,0.23,0.333,0.281,0.378,0.148,0.244,0.304,0.341,0.156,0.733
227,0.33,0.383,0.245,0.181,0.372,0.234,0.245,0.245,0.521,0.436,0.362,0.202,0.426,0.245,0.362,0.138,0.202,0.245,0.394,0.181,0.681
228,0.403,0.45,0.242,0.128,0.309,0.262,0.275,0.242,0.463,0.389,0.369,0.242,0.342,0.336,0.369,0.148,0.188,0.356,0.295,0.148,0.725
229,0.383,0.437,0.273,0.193,0.29,0.247,0.207,0.273,0.547,0.44,0.38,0.18,0.323,0.3,0.38,0.147,0.177,0.333,0.32,0.2,0.66
230,0.367,0.4,0.233,0.178,0.367,0.211,0.267,0.233,0.522,0.467,0.411,0.122,0.4,0.244,0.411,0.133,0.211,0.244,0.344,0.178,0.689
231,0.297,0.438,0.222,0.09,0.34,0.206,0.371,0.222,0.422,0.281,0.314,0.405,0.477,0.173,0.314,0.104,0.318,0.21,0.513,0.132,0.806
232,0.429,0.445,0.287,0.138,0.267,0.271,0.287,0.287,0.441,0.417,0.405,0.178,0.283,0.336,0.405,0.138,0.211,0.356,0.259,0.166,0.725
233,0.42,0.465,0.206,0.105,0.329,0.255,0.29,0.206,0.455,0.448,0.336,0.217,0.364,0.301,0.336,0.119,0.213,0.329,0.364,0.129,0.776
234,0.396,0.479,0.248,0.118,0.273,0.294,0.271,0.248,0.435,0.392,0.318,0.29,0.35,0.305,0.318,0.092,0.236,0.347,0.376,0.143,0.79
235,0.43,0.466,0.301,0.157,0.233,0.309,0.294,0.301,0.397,0.362,0.413,0.225,0.258,0.314,0.413,0.114,0.238,0.362,0.273,0.167,0.729
236,0.262,0.311,0.211,0.087,0.478,0.201,0.37,0.211,0.429,0.465,0.275,0.26,0.512,0.177,0.275,0.069,0.185,0.216,0.548,0.121,0.843
237,0.335,0.465,0.254,0.09,0.282,0.26,0.348,0.254,0.391,0.363,0.286,0.351,0.381,0.284,0.286,0.095,0.26,0.318,0.43,0.14,0.815
238,0.336,0.426,0.252,0.113,0.322,0.235,0.264,0.252,0.501,0.443,0.296,0.261,0.388,0.293,0.296,0.096,0.209,0.319,0.412,0.151,0.791
239,0.273,0.41,0.206,0.095,0.384,0.246,0.367,0.206,0.387,0.427,0.25,0.323,0.484,0.283,0.25,0.095,0.199,0.307,0.467,0.111,0.809
240,0.343,0.429,0.216,0.095,0.355,0.242,0.288,0.216,0.47,0.467,0.276,0.256,0.428,0.309,0.276,0.125,0.188,0.329,0.414,0.128,0.78
241,0.27,0.317,0.325,0.222,0.357,0.238,0.254,0.325,0.508,0.349,0.349,0.302,0.405,0.206,0.349,0.079,0.151,0.246,0.444,0.246,0.698
242,0.27,0.317,0.325,0.222,0.357,0.246,0.262,0.325,0.492,0.333,0.349,0.317,0.405,0.206,0.349,0.079,0.151,0.246,0.444,0.246,0.698
243,0.27,0.317,0.325,0.222,0.357,0.238,0.27,0.325,0.492,0.333,0.349,0.317,0.405,0.206,0.349,0.079,0.151,0.246,0.444,0.246,0.698
244,0.27,0.317,0.325,0.222,0.357,0.246,0.27,0.325,0.484,0.325,0.349,0.325,0.405,0.206,0.349,0.079,0.151,0.246,0.444,0.246,0.698
245,0.283,0.307,0.331,0.22,0.362,0.283,0.236,0.331,0.48,0.339,0.331,0.331,0.386,0.236,0.331,0.079,0.118,0.276,0.433,0.244,0.701
246,0.389,0.454,0.236,0.109,0.31,0.265,0.271,0.236,0.463,0.451,0.319,0.23,0.369,0.31,0.319,0.115,0.233,0.339,0.372,0.118,0.776
247,0.488,0.52,0.236,0.102,0.244,0.276,0.26,0.236,0.465,0.37,0.409,0.22,0.268,0.339,0.409,0.165,0.276,0.378,0.252,0.102,0.732
248,0.307,0.354,0.299,0.213,0.346,0.173,0.37,0.299,0.457,0.276,0.441,0.283,0.394,0.236,0.441,0.157,0.189,0.252,0.323,0.213,0.63
249,0.328,0.36,0.392,0.184,0.248,0.312,0.224,0.392,0.464,0.344,0.384,0.272,0.28,0.304,0.384,0.12,0.184,0.36,0.312,0.208,0.696
250,0.349,0.451,0.207,0.116,0.342,0.207,0.362,0.207,0.431,0.323,0.358,0.319,0.421,0.235,0.358,0.146,0.26,0.262,0.408,0.137,0.738
251,0.297,0.429,0.246,0.109,0.325,0.204,0.325,0.246,0.471,0.42,0.258,0.323,0.436,0.285,0.258,0.077,0.232,0.295,0.457,0.148,0.814
252,0.276,0.309,0.333,0.228,0.358,0.26,0.228,0.333,0.512,0.341,0.358,0.301,0.39,0.211,0.358,0.073,0.138,0.252,0.431,0.252,0.699
253,0.362,0.41,0.31,0.188,0.28,0.249,0.292,0.31,0.459,0.368,0.389,0.243,0.319,0.301,0.389,0.103,0.182,0.334,0.31,0.204,0.708
254,0.353,0.422,0.208,0.143,0.369,0.232,0.325,0.208,0.442,0.417,0.366,0.218,0.419,0.252,0.366,0.137,0.207,0.261,0.382,0.163,0.72
255,0.232,0.343,0.272,0.139,0.385,0.21,0.333,0.272,0.456,0.404,0.277,0.319,0.452,0.229,0.277,0.095,0.168,0.258,0.494,0.189,0.766
256,0.331,0.418,0.247,0.118,0.335,0.281,0.31,0.247,0.409,0.384,0.316,0.3,0.397,0.279,0.316,0.108,0.215,0.316,0.405,0.135,0.774
257,0.405,0.469,0.272,0.136,0.259,0.293,0.25,0.272,0.457,0.423,0.357,0.22,0.311,0.312,0.357,0.124,0.235,0.347,0.332,0.159,0.739
258,0.292,0.455,0.189,0.084,0.356,0.226,0.392,0.189,0.382,0.358,0.243,0.399,0.497,0.231,0.243,0.092,0.26,0.263,0.526,0.121,0.824
259,0.474,0.504,0.214,0.141,0.282,0.282,0.218,0.214,0.5,0.483,0.385,0.132,0.312,0.35,0.385,0.188,0.209,0.368,0.265,0.141,0.671
260,0.347,0.45,0.246,0.135,0.304,0.264,0.338,0.246,0.398,0.318,0.355,0.327,0.395,0.264,0.355,0.135,0.258,0.284,0.381,0.155,0.731
261,0.447,0.508,0.188,0.119,0.304,0.264,0.252,0.188,0.483,0.438,0.35,0.213,0.353,0.322,0.35,0.173,0.216,0.337,0.328,0.143,0.708
262,0.321,0.427,0.187,0.122,0.385,0.237,0.385,0.187,0.378,0.355,0.313,0.332,0.485,0.256,0.313,0.126,0.221,0.267,0.431,0.126,0.752
263,0.425,0.438,0.219,0.137,0.342,0.26,0.247,0.219,0.493,0.425,0.397,0.178,0.356,0.274,0.397,0.164,0.233,0.288,0.329,0.137,0.699
264,0.295,0.412,0.248,0.132,0.34,0.224,0.344,0.248,0.431,0.342,0.333,0.325,0.426,0.234,0.333,0.113,0.235,0.26,0.433,0.166,0.756
265,0.419,0.469,0.266,0.143,0.266,0.271,0.288,0.266,0.441,0.424,0.351,0.226,0.296,0.366,0.351,0.103,0.198,0.383,0.283,0.153,0.754
266,0.366,0.408,0.296,0.197,0.296,0.254,0.141,0.296,0.606,0.437,0.366,0.197,0.324,0.31,0.366,0.07,0.183,0.324,0.324,0.197,0.732
267,0.432,0.458,0.279,0.158,0.263,0.316,0.221,0.279,0.463,0.395,0.389,0.216,0.284,0.321,0.389,0.121,0.195,0.353,0.289,0.189,0.721
268,0.367,0.417,0.302,0.13,0.28,0.315,0.275,0.302,0.41,0.38,0.357,0.263,0.315,0.323,0.357,0.142,0.198,0.367,0.32,0.155,0.728
269,0.373,0.373,0.249,0.173,0.378,0.259,0.243,0.249,0.497,0.438,0.389,0.173,0.378,0.297,0.389,0.146,0.13,0.308,0.314,0.184,0.681
270,0.259,0.386,0.217,0.091,0.397,0.226,0.39,0.217,0.384,0.35,0.239,0.41,0.517,0.224,0.239,0.073,0.228,0.257,0.537,0.118,0.836
271,0.406,0.459,0.245,0.14,0.297,0.301,0.262,0.245,0.437,0.476,0.328,0.197,0.349,0.332,0.328,0.157,0.183,0.371,0.341,0.148,0.703
272,0.365,0.43,0.265,0.148,0.305,0.259,0.239,0.265,0.501,0.459,0.33,0.211,0.353,0.333,0.33,0.123,0.174,0.348,0.336,0.174,0.729
273,0.369,0.406,0.281,0.142,0.313,0.237,0.28,0.281,0.483,0.395,0.397,0.208,0.347,0.281,0.397,0.166,0.212,0.316,0.322,0.159,0.692
274,0.331,0.392,0.245,0.112,0.363,0.259,0.338,0.245,0.403,0.439,0.299,0.263,0.417,0.299,0.299,0.126,0.165,0.331,0.403,0.14,0.763
275,0.372,0.372,0.262,0.169,0.366,0.246,0.273,0.262,0.481,0.432,0.388,0.18,0.366,0.311,0.388,0.131,0.137,0.322,0.301,0.175,0.699
276,0.364,0.444,0.245,0.136,0.311,0.256,0.254,0.245,0.49,0.443,0.343,0.214,0.372,0.296,0.343,0.129,0.207,0.32,0.361,0.162,0.735
277,0.415,0.46,0.254,0.134,0.286,0.251,0.219,0.254,0.531,0.429,0.364,0.206,0.329,0.311,0.364,0.158,0.218,0.343,0.325,0.154,0.707
278,0.363,0.454,0.234,0.114,0.312,0.243,0.295,0.234,0.462,0.416,0.314,0.27,0.376,0.316,0.314,0.114,0.205,0.344,0.369,0.139,0.772
279,0.343,0.407,0.333,0.139,0.259,0.296,0.241,0.333,0.463,0.333,0.343,0.324,0.315,0.259,0.343,0.139,0.222,0.343,0.398,0.176,0.722
280,0.379,0.437,0.249,0.144,0.315,0.209,0.247,0.249,0.544,0.468,0.337,0.195,0.37,0.294,0.337,0.153,0.195,0.325,0.369,0.165,0.703
281,0.444,0.481,0.231,0.13,0.287,0.148,0.204,0.231,0.648,0.389,0.38,0.231,0.324,0.278,0.38,0.13,0.25,0.287,0.343,0.176,0.741
282,0.236,0.389,0.226,0.101,0.385,0.199,0.395,0.226,0.406,0.364,0.244,0.391,0.513,0.217,0.244,0.089,0.228,0.242,0.538,0.145,0.81
283,0.384,0.429,0.237,0.102,0.333,0.232,0.266,0.237,0.503,0.407,0.322,0.271,0.379,0.322,0.322,0.175,0.164,0.356,0.356,0.147,0.723
284,0.443,0.481,0.263,0.138,0.256,0.266,0.308,0.263,0.426,0.401,0.367,0.232,0.284,0.356,0.367,0.145,0.197,0.374,0.277,0.173,0.716
285,0.352,0.379,0.308,0.137,0.313,0.253,0.236,0.308,0.511,0.379,0.335,0.286,0.341,0.313,0.335,0.148,0.165,0.363,0.352,0.159,0.714
286,0.357,0.408,0.206,0.102,0.386,0.22,0.269,0.206,0.512,0.502,0.281,0.217,0.436,0.288,0.281,0.115,0.179,0.308,0.431,0.127,0.783
287,0.26,0.298,0.282,0.198,0.42,0.244,0.252,0.282,0.504,0.328,0.336,0.336,0.458,0.176,0.336,0.084,0.153,0.214,0.489,0.214,0.718
288,0.39,0.484,0.213,0.098,0.303,0.195,0.314,0.213,0.491,0.355,0.334,0.31,0.39,0.251,0.334,0.094,0.307,0.272,0.415,0.118,0.808
289,0.347,0.44,0.278,0.155,0.282,0.232,0.288,0.278,0.48,0.332,0.372,0.296,0.359,0.255,0.372,0.148,0.244,0.288,0.372,0.186,0.697
290,0.322,0.417,0.234,0.079,0.35,0.243,0.373,0.234,0.384,0.347,0.269,0.384,0.433,0.255,0.269,0.088,0.236,0.289,0.477,0.125,0.833
291,0.303,0.381,0.241,0.117,0.378,0.16,0.316,0.241,0.524,0.378,0.306,0.316,0.446,0.199,0.306,0.091,0.231,0.225,0.495,0.166,0.792
292,0.136,0.209,0.148,0.098,0.643,0.1,0.541,0.148,0.359,0.64,0.206,0.154,0.707,0.105,0.206,0.078,0.136,0.112,0.69,0.109,0.824
293,0.375,0.434,0.242,0.129,0.324,0.211,0.281,0.242,0.508,0.42,0.338,0.242,0.38,0.303,0.338,0.14,0.201,0.323,0.359,0.152,0.731
294,0.338,0.369,0.256,0.156,0.375,0.131,0.331,0.256,0.537,0.256,0.463,0.281,0.406,0.163,0.463,0.181,0.244,0.188,0.375,0.194,0.662
295,0.367,0.468,0.278,0.126,0.254,0.21,0.313,0.278,0.476,0.303,0.353,0.344,0.348,0.264,0.353,0.132,0.276,0.291,0.384,0.179,0.742
296,0.319,0.379,0.237,0.097,0.384,0.234,0.391,0.237,0.374,0.43,0.319,0.251,0.428,0.273,0.319,0.101,0.215,0.292,0.408,0.109,0.802
297,0.363,0.434,0.217,0.128,0.349,0.235,0.327,0.217,0.438,0.335,0.367,0.299,0.42,0.263,0.367,0.164,0.231,0.278,0.37,0.142,0.708
298,0.372,0.446,0.272,0.133,0.282,0.301,0.27,0.272,0.429,0.365,0.35,0.286,0.343,0.293,0.35,0.116,0.22,0.337,0.357,0.162,0.751
299,0.398,0.435,0.343,0.213,0.222,0.287,0.278,0.343,0.435,0.398,0.426,0.176,0.25,0.324,0.426,0.111,0.194,0.352,0.25,0.231,0.676
300,0.306,0.361,0.238,0.142,0.401,0.214,0.361,0.238,0.425,0.417,0.349,0.234,0.457,0.219,0.349,0.108,0.207,0.227,0.432,0.165,0.75
301,0.311,0.369,0.211,0.132,0.419,0.206,0.399,0.211,0.395,0.407,0.359,0.234,0.478,0.211,0.359,0.125,0.208,0.222,0.43,0.151,0.742
302,0.371,0.409,0.22,0.159,0.371,0.167,0.288,0.22,0.545,0.485,0.326,0.189,0.409,0.242,0.326,0.061,0.182,0.265,0.432,0.182,0.78
303,0.371,0.409,0.22,0.159,0.371,0.167,0.288,0.22,0.545,0.485,0.326,0.189,0.409,0.242,0.326,0.061,0.182,0.265,0.432,0.182,0.78
304,0.28,0.382,0.2,0.091,0.418,0.194,0.401,0.2,0.405,0.328,0.306,0.366,0.515,0.197,0.306,0.089,0.258,0.211,0.497,0.113,0.82
305,0.301,0.311,0.34,0.243,0.35,0.272,0.243,0.34,0.485,0.476,0.35,0.175,0.359,0.262,0.35,0.068,0.087,0.301,0.388,0.262,0.689
306,0.364,0.403,0.264,0.202,0.333,0.171,0.248,0.264,0.581,0.481,0.357,0.163,0.372,0.248,0.357,0.07,0.171,0.271,0.395,0.225,0.729
307,0.369,0.408,0.269,0.2,0.323,0.177,0.246,0.269,0.577,0.469,0.354,0.177,0.362,0.246,0.354,0.069,0.177,0.269,0.4,0.231,0.731
308,0.369,0.408,0.246,0.192,0.346,0.185,0.262,0.246,0.554,0.469,0.346,0.185,0.385,0.246,0.346,0.069,0.177,0.269,0.408,0.208,0.738
309,0.383,0.439,0.292,0.139,0.269,0.275,0.256,0.292,0.469,0.411,0.331,0.258,0.308,0.35,0.331,0.106,0.192,0.375,0.319,0.164,0.756
310,0.442,0.498,0.23,0.121,0.272,0.265,0.314,0.23,0.422,0.368,0.371,0.26,0.318,0.321,0.371,0.132,0.241,0.344,0.308,0.142,0.748
311,0.439,0.481,0.284,0.159,0.235,0.265,0.178,0.284,0.557,0.439,0.394,0.167,0.273,0.341,0.394,0.178,0.22,0.375,0.265,0.17,0.663
312,0.347,0.427,0.272,0.146,0.3,0.268,0.263,0.272,0.469,0.343,0.357,0.3,0.357,0.282,0.357,0.146,0.221,0.305,0.362,0.174,0.709
313,0.359,0.418,0.266,0.144,0.316,0.285,0.29,0.266,0.426,0.405,0.354,0.241,0.348,0.318,0.354,0.131,0.172,0.348,0.328,0.163,0.725
314,0.366,0.394,0.253,0.136,0.352,0.27,0.287,0.253,0.442,0.425,0.357,0.218,0.38,0.281,0.357,0.142,0.182,0.312,0.362,0.153,0.722
315,0.402,0.438,0.24,0.159,0.321,0.225,0.279,0.24,0.495,0.384,0.402,0.213,0.354,0.285,0.402,0.144,0.213,0.294,0.312,0.171,0.697
316,0.433,0.46,0.254,0.138,0.286,0.299,0.286,0.254,0.415,0.446,0.371,0.183,0.308,0.339,0.371,0.134,0.188,0.379,0.29,0.147,0.728
317,0.391,0.422,0.267,0.151,0.31,0.271,0.252,0.267,0.477,0.419,0.357,0.225,0.329,0.333,0.357,0.12,0.171,0.36,0.31,0.159,0.729
